gender,Race,Education,totalyearlycompensation
Male,Asian,Bachelor's Degree,125000
Female,Asian,Master's Degree,150000
Male,White,Bachelor's Degree,220000
Male,White,Bachelor's Degree,142000
Male,Asian,Master's Degree,162000
Male,Hispanic,Master's Degree,336000
Male,Asian,Master's Degree,165000
Male,Asian,Master's Degree,77000
Male,White,Some College,180000
Male,White,PhD,342000
Male,Hispanic,Highschool,299000
Male,White,Bachelor's Degree,500000
Male,Asian,Bachelor's Degree,200000
Male,Asian,Master's Degree,180000
Male,Asian,Master's Degree,140000
Male,Asian,Master's Degree,188000
Male,Asian,Bachelor's Degree,315000
Male,Asian,Bachelor's Degree,375000
Male,Asian,Bachelor's Degree,305000
Male,Asian,Master's Degree,380000
Male,White,Master's Degree,184000
Male,Asian,Bachelor's Degree,100000
Male,White,Bachelor's Degree,314000
Female,Asian,Master's Degree,205000
Male,White,Bachelor's Degree,425000
Male,Asian,PhD,350000
Male,Hispanic,Bachelor's Degree,229000
Male,Asian,Master's Degree,183000
Male,Asian,Bachelor's Degree,99000
Male,Asian,Master's Degree,108000
Male,Asian,Master's Degree,138000
Male,Asian,Bachelor's Degree,80000
Male,Asian,Bachelor's Degree,110000
Male,Black,Bachelor's Degree,77000
Male,Asian,Bachelor's Degree,129000
Female,Asian,Master's Degree,133000
Male,White,Bachelor's Degree,162000
Male,Asian,Master's Degree,164000
Male,Asian,Bachelor's Degree,207000
Male,Asian,Bachelor's Degree,246000
Male,Asian,Master's Degree,187000
Male,Asian,Bachelor's Degree,165000
Male,White,Some College,130000
Male,White,Highschool,48000
Female,Asian,Master's Degree,167000
Male,White,Master's Degree,231000
Male,Asian,Bachelor's Degree,119000
Male,Asian,Master's Degree,130000
Male,White,Bachelor's Degree,151000
Male,Asian,Master's Degree,58000
Male,Asian,Bachelor's Degree,248000
Female,White,Master's Degree,396000
Male,Asian,Master's Degree,117000
Male,Asian,Master's Degree,310000
Male,White,Master's Degree,200000
Male,Hispanic,Bachelor's Degree,188000
Female,Asian,Master's Degree,201000
Male,White,Bachelor's Degree,530000
Male,Two Or More,Master's Degree,226000
Male,Asian,Master's Degree,197000
Male,Asian,PhD,337000
Male,Asian,Master's Degree,234000
Male,Asian,Bachelor's Degree,42000
Male,Asian,Master's Degree,132000
Male,White,Bachelor's Degree,254000
Female,Asian,Bachelor's Degree,199000
Male,White,Bachelor's Degree,145000
Male,White,Bachelor's Degree,189000
Female,Asian,Bachelor's Degree,158000
Female,Asian,Bachelor's Degree,165000
Female,Asian,Bachelor's Degree,145000
Male,Asian,Master's Degree,385000
Male,White,Bachelor's Degree,176000
Female,Asian,Bachelor's Degree,208000
Male,Asian,Bachelor's Degree,150000
Male,Asian,Master's Degree,270000
Male,White,Bachelor's Degree,240000
Male,White,Master's Degree,170000
Male,White,Bachelor's Degree,170000
Male,White,Bachelor's Degree,215000
Male,White,Bachelor's Degree,154000
Male,Asian,Master's Degree,190000
Male,White,Bachelor's Degree,205000
